pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_jas16
2016,07,017878,006,0135,11,01,0,0,16041101,1,1,2, ,1,35,8,3, ,1,2,10,7,2016,16,7,2016,11,8,1980,1, , , , , , , , , , , , , ,839,1812,4,5,2, ,99,99,2012,0,9,9,9,9,9,0,45,1, ,1,2,2,350,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1516,0, , , , ,1516,1516,1,361.49401084048
2016,07,017878,006,0136,11,02,0,0,16041102,3,1,2, ,2,46,8,3, ,2,1,10,7,2016,16,7,2016,28,6,1970,1, , , , , , , , , , , , , ,413,4100,3,5,1,50,99,99,2003,0,8,8,8,8,8,5,45,1, ,1,2,4,2000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2000,0, , , , ,2000,2000,1,157.420205518158
2016,07,017914,006,0123,11,01,0,0,16071101,1,1,2, ,1,57,6,5, ,1,2,26,6,2016,2,7,2016,1,12,1958,1, , , , , , , , , , , , , ,522,5610,4,5,1,5,99,6,2015,10,10,10,10,10,10,10,70,1, ,1,2,2,400,98, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,6,1,1732,424, , , , ,2156,2156,1,178.721570040169
2016,07,017914,006,0135,11,01,0,0,16071101,1,1,2, ,1,33,10,5, ,1,2,26,6,2016,2,7,2016,17,10,1982,1, , , , , , , , , , , , , ,127,8411,3,2,2, ,99,99,2007,0,10,8,10,8,10,3,49,1, ,2,2,4,6000,0, , ,1500,0,0, , , , , , , , ,3,0,0,0,0,0,0,1,6,4,1,6000,0, , ,1500,0,7500,6000,1,361.49401084048
2016,07,017914,006,0135,11,02,0,0,16071102,2,1,2, ,2,44,9,3, ,2,2,26,6,2016,2,7,2016,17,4,1972,1, , , , , , , , , , , , , ,442,8411,3,2,2, ,99,99,2009,0,8,8,8,8,8,0,40,1, ,2,2,4,2000,0, , , , ,1, , , , , , , , ,3,0,0,0,0,0,0,1,5,4,1,2000,0, , , , ,2000,2000,1,340.764980146425
2016,07,017914,006,0136,11,01,0,0,16071101,1,1,2, ,1,45,10,5, ,1,1,26,6,2016,2,7,2016,10,12,1970,1, , , , , , , , , , , , , ,231,8411,3,2,2, ,99,2,2016,0,8,8,8,8,8,0,40,1, ,1,2,4,3500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,3500,0, , , , ,3500,3500,1,178.721570040169
2016,07,017915,006,0157,11,02,0,0,16071102,3,1,2, ,2,40,10,6, ,2,2,10,7,2016,16,7,2016,24,6,1976,1, , , , , , , , , , , , , ,254,8423,3,2,2, ,99,99,2010,0,10,10,10,10,10,0,50,1, ,1,2,4,5000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,5000,0, , , , ,5000,5000,1,454.3533068619
2016,07,017915,006,0157,11,03,0,0,16071103,4,1,2, ,1,46,10,6, ,3,2,10,7,2016,16,7,2016,25,2,1970,1, , , , , , , , , , , , , ,254,4210,3,5,2, ,99,99,2000,0,9,9,9,9,9,6,51,1, ,1,2,4,6000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,6000,0, , , , ,6000,6000,1,238.295426720225
2016,07,017915,006,0173,11,01,0,0,16071101,1,1,2, ,1,52,10,5, ,1,2,10,7,2016,16,7,2016,6,12,1963,1, , , , , , , , , , , , , ,241,8530,3,5,2, ,99,99,2013,0,8,8,8,8,8,5,45,1, ,1,2,4,5000,0, , , , ,1, , , , , , , , ,2,0,0,0,0,0,0,1,6,4,1,5000,0, , , , ,5000,5000,1,238.295426720225
2016,07,017915,006,0173,11,02,0,0,16071102,2,1,2, ,2,44,10,5, ,2,2,10,7,2016,16,7,2016,17,4,1972,1, , , , , , , , , , , , , ,411,8530,3,5,2, ,99,99,2006,0,8,8,8,8,8,6,46,1, ,1,2,4,8000,0, , , , ,1, , , , , , , , ,3,0,0,0,0,0,0,1,6,4,1,8000,0, , , , ,8000,8000,1,454.3533068619
